image_path,source_name,source_url,license_type,license_url,attribution_note,permission_note,collector,checked_date,notes
datasets/raw/rice_clear_commons_0021.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice-paddy.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0022.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Field.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0023.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Oryza_sativa.JPG,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0024.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:NE_rice_paddy.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0025.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Field_Corella_Bohol.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0026.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Paddy_Closeup.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0027.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Fields_from_the_outskirts_of_Sogod.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0028.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Local_rice_paddy_fields.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0029.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Fields.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0030.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Oryza_sativa_of_Kadavoor.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0031.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Asia_Rice_paddy.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0032.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_field_in_Tarlac_-_panoramio.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0033.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_research_fields.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0034.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Oryza_sativa_subsp_paddy_field.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0035.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_plant_(Oryza_sativa).jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0036.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Paddy_Field.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0037.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Plain_rice_field.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0038.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_paddy_fields.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0039.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_field_at_Patacbo,_Basista,_Pangasinan.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0040.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Paddy_P6240056.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0041.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_paddy_(3384021601).jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0042.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cut_rice_in_paddy_fields.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0043.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A_Paddy_Field_in_Bangladesh.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0044.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A_paddy_field_(rice_field)_in_bangladesh.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/rice_clear_commons_0045.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:LPCC-677-Fulles_bandera_d%27Oryza.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0046.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Maize_plant.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0047.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wheat_Plants.JPG,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0048.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wheat_Plant.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0049.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sugar_cane_plant.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0050.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sugarcane_plant_01.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0051.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sugar_cane_is_planted_in_Taraba_State.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0052.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Houseplant_Calathea_orbifolia.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0053.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Indoor_Plant.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0054.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Indoor_plant_-_Flickr_-_GeorgeTan%5E5.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0055.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Indoor_Plant_culture.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0056.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Houseplants.JPG,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0057.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Phlebodium_aureum_indoor_plant.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0058.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Basil_plants.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0059.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Basil_plant_01.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0060.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Basil_plant_in_a_pot_03.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0061.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Holy_Basil_Plant.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0062.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Young_lemon_basil_plant_(Ocimum_%C3%97_africanum).jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0063.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Bean_plant.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0064.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Corn_Plant.JPG,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0065.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Corn_Plants.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0066.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:K.Pudur_Village_Corn_plants.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0067.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Taraxacum_officinale_leaf1_(16189363040).jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0068.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Triticum_aestivum_(3885581829).jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0069.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Helianthus_annuus_leaf-9-16-04.jpg,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
datasets/raw/plant_not_rice_commons_0070.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Phaseolus_vulgaris_003.JPG,,,,,team,,Pending manual license and attribution confirmation from exact Commons file page
